App,Category,Rating,Reviews,Size,Installs,Type,Price,"Content Rating",Genres,"Last Updated","Current Ver","Android Ver"
"Photo Editor & Candy Camera & Grid & ScrapBook",ART_AND_DESIGN,4.1,159,19,10000,Free,0,Everyone,"Art & Design",2018-01-07,1.0.0,"4.0.3 "
"Coloring book moana",ART_AND_DESIGN,3.9,967,14,500000,Free,0,Everyone,"Art & Design",2018-01-15,2.0.0,"4.0.3 "
"U Launcher Lite â€“ FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510,8.7,5000000,Free,0,Everyone,"Art & Design",2018-08-01,1.2.4,"4.0.3 "
"Sketch - Draw & Paint",ART_AND_DESIGN,4.5,215644,25,50000000,Free,0,Teen,"Art & Design",2018-06-08,NULL,"4.2 "
"Pixel Draw - Number Art Coloring Book",ART_AND_DESIGN,4.3,967,2.8,100000,Free,0,Everyone,"Art & Design",2018-06-20,1.1,"4.4 "
"Paper flowers instructions",ART_AND_DESIGN,4.4,167,5.6,50000,Free,0,Everyone,"Art & Design",2017-03-26,1.0,"2.3 "
"Smoke Effect Photo Maker - Smoke Editor",ART_AND_DESIGN,3.8,178,19,50000,Free,0,Everyone,"Art & Design",2018-04-26,1.1,"4.0.3 "
"Infinite Painter",ART_AND_DESIGN,4.1,36815,29,1000000,Free,0,Everyone,"Art & Design",2018-06-14,6.1.61,"4.2 "
"Garden Coloring Book",ART_AND_DESIGN,4.4,13791,33,1000000,Free,0,Everyone,"Art & Design",2017-09-20,2.9.2,"3.0 "
"Kids Paint Free - Drawing Fun",ART_AND_DESIGN,4.7,121,3.1,10000,Free,0,Everyone,"Art & Design",2018-07-03,2.8,"4.0.3 "
"Text on Photo - Fonteee",ART_AND_DESIGN,4.4,13880,28,1000000,Free,0,Everyone,"Art & Design",2017-10-27,1.0.4,"4.1 "
"Name Art Photo Editor - Focus n Filters",ART_AND_DESIGN,4.4,8788,12,1000000,Free,0,Everyone,"Art & Design",2018-07-31,1.0.15,"4.0 "
"Tattoo Name On My Photo Editor",ART_AND_DESIGN,4.2,44829,20,10000000,Free,0,Teen,"Art & Design",2018-04-02,3.8,"4.1 "
"Mandala Coloring Book",ART_AND_DESIGN,4.6,4326,21,100000,Free,0,Everyone,"Art & Design",2018-06-26,1.0.4,"4.4 "
"3D Color Pixel by Number - Sandbox Art Coloring",ART_AND_DESIGN,4.4,1518,37,100000,Free,0,Everyone,"Art & Design",2018-08-03,1.2.3,"2.3 "
"Learn To Draw Kawaii Characters",ART_AND_DESIGN,3.2,55,2.7,5000,Free,0,Everyone,"Art & Design",2018-06-06,,"4.2 "
"Photo Designer - Write your name with shapes",ART_AND_DESIGN,4.7,3632,5.5,500000,Free,0,Everyone,"Art & Design",2018-07-31,3.1,"4.1 "
"350 Diy Room Decor Ideas",ART_AND_DESIGN,4.5,27,17,10000,Free,0,Everyone,"Art & Design",2017-11-07,1.0,"2.3 "
"FlipaClip - Cartoon animation",ART_AND_DESIGN,4.3,194216,39,5000000,Free,0,Everyone,"Art & Design",2018-08-03,2.2.5,"4.0.3 "
"ibis Paint X",ART_AND_DESIGN,4.6,224399,31,10000000,Free,0,Everyone,"Art & Design",2018-07-30,5.5.4,"4.1 "
"Logo Maker - Small Business",ART_AND_DESIGN,4,450,14,100000,Free,0,Everyone,"Art & Design",2018-04-20,4.0,"4.1 "
"Boys Photo Editor - Six Pack & Men's Suit",ART_AND_DESIGN,4.1,654,12,100000,Free,0,Everyone,"Art & Design",2018-03-20,1.1,"4.0.3 "
"Superheroes Wallpapers | 4K Backgrounds",ART_AND_DESIGN,4.7,7699,4.2,500000,Free,0,"Everyone 10+","Art & Design",2018-07-12,2.2.6,"4.0.3 "
"HD Mickey Minnie Wallpapers",ART_AND_DESIGN,4.7,118,23,50000,Free,0,Everyone,"Art & Design",2018-07-07,1.1.3,"4.1 "
"Harley Quinn wallpapers HD",ART_AND_DESIGN,4.8,192,6,10000,Free,0,Everyone,"Art & Design",2018-04-25,1.5,"3.0 "
"Colorfit - Drawing & Coloring",ART_AND_DESIGN,4.7,20260,25,500000,Free,0,Everyone,"Art & Design",2017-10-11,1.0.8,"4.0.3 "
"Animated Photo Editor",ART_AND_DESIGN,4.1,203,6.1,100000,Free,0,Everyone,"Art & Design",2018-03-21,1.03,"4.0.3 "
"Pencil Sketch Drawing",ART_AND_DESIGN,3.9,136,4.6,10000,Free,0,Everyone,"Art & Design",2018-07-12,6.0,"2.3 "
"Easy Realistic Drawing Tutorial",ART_AND_DESIGN,4.1,223,4.2,100000,Free,0,Everyone,"Art & Design",2017-08-22,1.0,"2.3 "
"Pink Silver Bow Keyboard Theme",ART_AND_DESIGN,4.2,1120,9.2,100000,Free,0,Everyone,"Art & Design",2018-07-12,6.7.12,"4.0.3 "
"Art Drawing Ideas",ART_AND_DESIGN,4.1,227,5.2,50000,Free,0,Everyone,"Art & Design",2018-05-31,1.2,"2.3 "
"Anime Manga Coloring Book",ART_AND_DESIGN,4.5,5035,11,100000,Free,0,Everyone,"Art & Design",2018-07-19,2.20,"4.0 "
"Easy Origami Ideas",ART_AND_DESIGN,4.2,1015,11,100000,Free,0,Everyone,"Art & Design",2018-01-06,1.1.0,"4.1 "
"I Creative Idea",ART_AND_DESIGN,4.7,353,4.2,10000,Free,0,Teen,"Art & Design",2018-04-27,1.6,"4.1 "
"How to draw Ladybug and Cat Noir",ART_AND_DESIGN,3.8,564,9.2,100000,Free,0,Everyone,"Art & Design",2018-07-11,2.1,"4.1 "
"UNICORN - Color By Number & Pixel Art Coloring",ART_AND_DESIGN,4.7,8145,24,500000,Free,0,Everyone,"Art & Design",2018-08-02,1.0.9,"4.4 "
"Floor Plan Creator",ART_AND_DESIGN,4.1,36639,NULL,5000000,Free,0,Everyone,"Art & Design",2018-07-14,NULL,"2.3.3 "
"PIP Camera - PIP Collage Maker",ART_AND_DESIGN,4.7,158,11,10000,Free,0,Everyone,"Art & Design",2017-11-29,1.3,"4.0.3 "
"How To Color Disney Princess - Coloring Pages",ART_AND_DESIGN,4,591,9.4,500000,Free,0,Everyone,"Art & Design",2018-03-31,1,"4.0 "
"Drawing Clothes Fashion Ideas",ART_AND_DESIGN,4.2,117,15,10000,Free,0,Everyone,"Art & Design",2018-07-20,2.0.1,"4.0.3 "
"Sad Poetry Photo Frames 2018",ART_AND_DESIGN,4.5,176,10,100000,Free,0,Everyone,"Art & Design",2018-04-02,1.0,"4.0.3 "
"Textgram - write on photos",ART_AND_DESIGN,4.4,295221,NULL,10000000,Free,0,Everyone,"Art & Design",2018-07-30,NULL,"Varies with device"
"Paint Splash!",ART_AND_DESIGN,3.8,2206,1.2,100000,Free,0,Everyone,"Art & Design",2018-04-15,1.46,"4.1 "
"Popsicle Sticks and Similar DIY Craft Ideas",ART_AND_DESIGN,4.2,26,12,10000,Free,0,Everyone,"Art & Design",2018-01-03,1.0.0,"4.1 "
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24,10000000,Free,0,Everyone,"Art & Design",2018-07-31,1.6.1,"4.1 "
"Install images with music to make video without Net - 2018",ART_AND_DESIGN,4.6,1070,26,100000,Free,0,Everyone,"Art & Design",2017-11-14,1.6,"4.1 "
"Little Teddy Bear Colouring Book Game",ART_AND_DESIGN,4.2,85,8,100000,Free,0,Everyone,"Art & Design",2017-12-17,2.0.0,"4.1 "
"How To Draw Food",ART_AND_DESIGN,4.3,845,7.9,100000,Free,0,Everyone,"Art & Design",2018-05-28,1.0,"2.3 "
"Monster Truck Stunt 3D 2019",AUTO_AND_VEHICLES,4.2,367,25,100000,Free,0,Everyone,"Auto & Vehicles",2018-05-10,1.0,"4.0.3 "
"Real Tractor Farming",AUTO_AND_VEHICLES,4,1598,56,1000000,Free,0,Everyone,"Auto & Vehicles",2018-07-26,11.0,"4.1 "
"Ultimate F1 Racing Championship",AUTO_AND_VEHICLES,3.8,284,57,100000,Free,0,Everyone,"Auto & Vehicles",2018-07-26,3.0,"4.1 "
"Used Cars and Trucks for Sale",AUTO_AND_VEHICLES,4.6,17057,NULL,1000000,Free,0,Everyone,"Auto & Vehicles",2018-07-30,NULL,"Varies with device"
"American Muscle Car Race",AUTO_AND_VEHICLES,3.9,129,35,100000,Free,0,Everyone,"Auto & Vehicles",2018-07-26,3.0,"4.1 "
"Offroad Oil Tanker Driver Transport Truck 2019",AUTO_AND_VEHICLES,4.3,542,33,100000,Free,0,Everyone,"Auto & Vehicles",2018-07-31,4.0,"4.1 "
"Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru",AUTO_AND_VEHICLES,4.9,10479,33,100000,Free,0,Everyone,"Auto & Vehicles",2018-07-18,1.7.1,"4.0 "
"Gas Prices (Germany only)",AUTO_AND_VEHICLES,4.4,805,5.6,50000,Free,0,Everyone,"Auto & Vehicles",2018-07-29,2.5.1,"4.4 "
"Extreme Rally Championship",AUTO_AND_VEHICLES,4.2,129,54,100000,Free,0,Everyone,"Auto & Vehicles",2018-07-26,3.0,"4.1 "
"Restart Navigator",AUTO_AND_VEHICLES,4,1403,0.196289,100000,Free,0,Everyone,"Auto & Vehicles",2014-08-26,1.0.1,"2.2 "
"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3.6,100000,Free,0,Everyone,"Auto & Vehicles",2018-07-30,2.493,"4.4 "
"CityBus Lviv",AUTO_AND_VEHICLES,4.6,534,5.7,10000,Free,0,Everyone,"Auto & Vehicles",2018-07-08,1.9.1,"4.0.3 "
"CDL Practice Test 2018 Edition",AUTO_AND_VEHICLES,4.9,7774,17,100000,Free,0,Everyone,"Auto & Vehicles",2018-07-03,1.7,"4.2 "
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8.6,1000000,Free,0,Everyone,"Auto & Vehicles",2018-07-28,"2.20  02","4.1 "
